;0
1580;CLI
1581;CLIM
1582;CLIR
1583;CLLS
1584;CLM
1585;CLMT
1586;CLNE
1587;CLNN
1588;CLNNW
1589;CLOE
1590;CLOER
1591;CLOEU
1592;CLOV
1593;CLPR
1594;CLPS
1595;CLPT
1596;CLR
1597;CLRB
1598;CLRM
1599;CLRMU
1600;CLRMW
1601;CLRO
1602;CLS
1603;CLSD
1604;CLSK
1605;CLSN
1606;CLST
1607;CLVR
1608;CLVRW
1609;CLVS
1610;CLVT
1611;CLVT^A
1612;CLW
1613;CLWT
1614;CLX
1615;CLXT
1616;CM
1617;CMA
1618;CMAX
1619;CMAXW
1620;CMBM
1621;CMC
1622;CMCL
1623;CMCM
1624;CMCO
1625;CMCSA
1626;CMCT
1627;CME
1628;CMG
1629;CMI
1630;CMLS
1631;CMLT
1632;CMLTU
1633;CMLTW
1634;CMMB
1635;CMP
1636;CMPI
1637;CMPR
1638;CMPS
1639;CMPX
1640;CMRE
1641;CMRE^B
1642;CMRE^C
1643;CMRE^D
1644;CMRE^E
1645;CMRX
1646;CMS
1647;CMS^B
1648;CMS^C
1649;CMSA
1650;CMSC
1651;CMSD
1652;CMT
1653;CMTL
1654;CMU
1655;CNA
1656;CNBKA
1657;CNC
1658;CNCE
1659;CND
1660;CNDA
1661;CNDT
1662;CNET
1663;CNEY
1664;CNF
1665;CNFR
1666;CNFRL
1667;CNHI
1668;CNI
1669;CNK
1670;CNM
1671;CNMD
1672;CNNB
1673;CNNE
1674;CNO
1675;CNO^A
1676;CNOB
1677;CNOBP
1678;CNP
1679;CNQ
1680;CNR
1681;CNS
1682;CNSL
1683;CNSP
1684;CNTA
1685;CNTB
1686;CNTG
1687;CNTQ
1688;CNTQU
1689;CNTQW
1690;CNTX
1691;CNTY
1692;CNVY
1693;CNX
1694;CNXC
1695;CNXN
1696;CO
1697;COCO
1698;COCP
1699;CODA
1700;CODI
1701;CODI^A
1702;CODI^B
1703;CODI^C
1704;CODX
1705;COE
1706;COF
1707;COF^G
1708;COF^H
1709;COF^I
1710;COF^J
1711;COF^K
1712;COF^L
1713;COF^N
1714;COFS
1715;COGT
1716;COHN
1717;COHR
1718;COHU
1719;COIN
1720;COKE
1721;COLB
1722;COLD
1723;COLI
1724;COLIU
1725;COLIW
1726;COLL
1727;COLM
1728;COMM
1729;COMP
1730;COMS
1731;COMSP
1732;COMSW
1733;CONE
1734;CONN
1735;CONX
1736;CONXU
1737;CONXW
1738;COO
1739;COOK
1740;COOL
1741;COOLU
1742;COOLW
1743;COOP
1744;COP
1745;COR
1746;CORR
1747;CORR^A
1748;CORS
1749;CORT
1750;COST
1751;COTY
1752;COUP
1753;COUR
1754;COVA
1755;COVAU
1756;COVAW
1757;COWN
1758;COWNL
1759;CP
1760;CPA
1761;CPAA
1762;CPAAU
1763;CPAAW
1764;CPAC
1765;CPAR
1766;CPARU
1767;CPARW
1768;CPB
1769;CPE
1770;CPF
1771;CPG
1772;CPHC
1773;CPHI
1774;CPIX
1775;CPK
1776;CPLG
1777;CPLP
1778;CPNG
1779;CPOP
1780;CPRI
1781;CPRT
1782;CPRX
1783;CPS
1784;CPSH
1785;CPSI
1786;CPSR
1787;CPSS
1788;CPT
1789;CPTAG
1790;CPTAL
1791;CPTK
1792;CPUH
1793;CPZ
1794;CQP
1795;CR
1796;CRAI
1797;CRBP
1798;CRBU
1799;CRC
1800;CRCT
1801;CRD/A
1802;CRD/B
1803;CRDF
1804;CRDL
1805;CREG
1806;CRESW
1807;CRESY
1808;CREX
1809;CREXW
1810;CRF
1811;CRH
1812;CRHC
1813;CRI
1814;CRIS
1815;CRK
1816;CRKN
1817;CRL
1818;CRM
1819;CRMD
1820;CRMT
1821;CRNC
1822;CRNT
1823;CRNX
1824;CRON
1825;CROX
1826;CRS
1827;CRSP
1828;CRSR
1829;CRT
1830;CRTD
1831;CRTDW
1832;CRTO
1833;CRTX
1834;CRU
1835;CRUS
1836;CRVL
1837;CRVS
1838;CRWD
1839;CRWS
1840;CRXT
1841;CRXTW
1842;CRY
1843;CRZN
1844;CRZNU
1845;CRZNW
1846;CS
1847;CSAN
1848;CSBR
1849;CSCO
1850;CSCW
1851;CSGP
1852;CSGS
1853;CSII
1854;CSIQ
1855;CSL
1856;CSLT
1857;CSPI
1858;CSPR
1859;CSQ
1860;CSR
1861;CSR^C
1862;CSSE
1863;CSSEN
1864;CSSEP
1865;CSTA
1866;CSTE
1867;CSTL
1868;CSTM
1869;CSTR
1870;CSU
1871;CSV
1872;CSWC
1873;CSWI
1874;CSX
1875;CTA^A
1876;CTA^B
1877;CTAQ
1878;CTAQU
1879;CTAQW
1880;CTAS
1881;CTBB
1882;CTBI
1883;CTDD
1884;CTEK
1885;CTG
1886;CTHR
1887;CTIB
1888;CTIC
1889;CTK
1890;CTKB
1891;CTLP
1892;CTLT
1893;CTMX
1894;CTO
1895;CTO^A
1896;CTOS
1897;CTR
1898;CTRA
1899;CTRE
1900;CTRM
1901;CTRN
1902;CTS
1903;CTSH
1904;CTSO
1905;CTT
1906;CTVA
1907;CTXR
1908;CTXRW
1909;CTXS
1910;CUBA
1911;CUBB
1912;CUBE
1913;CUBI
1914;CUBI^E
1915;CUBI^F
1916;CUE
1917;CUEN
1918;CUENW
